"Time","Great Sand Dunes National Park and Preserve","Great Smoky Mountains National Park","Guadalupe Mountains National Park","Haleakalā National Park","Hawaiʻi Volcanoes National Park","Hot Springs National Park","Indiana Dunes National Park","Isle Royale National Park"
"2023-01-01",4,3,2,6,5,2,3,1
"2023-02-01",4,3,2,6,3,2,3,1
"2023-03-01",5,4,3,6,2,3,3,1
"2023-04-01",5,4,2,7,2,2,5,1
"2023-05-01",7,4,2,7,3,3,8,2
"2023-06-01",8,4,2,8,7,3,12,2
"2023-07-01",7,4,1,8,5,3,14,2
"2023-08-01",5,3,1,6,4,2,9,2
"2023-09-01",5,4,2,3,5,2,6,1
"2023-10-01",4,4,2,4,4,3,3,1
"2023-11-01",2,3,2,4,4,2,2,1
"2023-12-01",3,3,2,4,5,2,2,1
"2024-01-01",3,3,2,4,5,3,3,1
"2024-02-01",4,3,2,3,5,3,3,1
"2024-03-01",5,4,3,3,5,3,4,2
"2024-04-01",6,4,2,4,5,4,5,2
"2024-05-01",8,4,2,4,6,4,9,2
"2024-06-01",9,4,2,3,5,3,13,2
"2024-07-01",8,3,1,4,4,3,14,4
"2024-08-01",6,4,2,3,4,3,10,2
"2024-09-01",5,5,2,3,4,3,5,2
"2024-10-01",4,5,2,3,4,3,3,1
"2024-11-01",2,3,2,3,4,2,2,1
"2024-12-01",3,3,2,4,6,2,2,1
"2025-01-01",3,3,2,3,6,2,3,1
"2025-02-01",3,3,2,3,6,2,3,1
"2025-03-01",5,4,2,3,6,3,5,2
"2025-04-01",5,4,2,3,7,3,5,2
"2025-05-01",8,5,2,4,7,4,8,2
"2025-06-01",8,4,2,4,6,3,11,4
"2025-07-01",8,4,2,4,6,3,12,2
"2025-08-01",6,4,2,3,5,2,9,2
"2025-09-01",5,5,2,3,5,2,4,1
"2025-10-01",4,6,2,3,5,3,4,1
"2025-11-01",3,4,2,3,6,3,2,1
"2025-12-01",3,4,2,4,6,3,2,1
"2026-01-01",3,4,2,4,7,3,3,1
"2026-02-01",4,5,2,4,6,3,3,1
"2026-03-01",5,5,2,4,7,3,4,1
"2026-04-01",5,5,2,3,6,3,5,2
